task_id,executed_at,execution_status,result_count,accepted_attestation_id,failure_reason,target,status,content_length
SRC_R010_TW_TAINAN_ASHIA_1940_OFFICIAL,2026-06-04T13:42:00+10:00,success,1,SRC_R010_TW_TAINAN_ASHIA_1940_OFFICIAL,,https://www.twtainan.net/zh-tw/event/newsdetail/6818/,200,1000
SRC_R010_TW_TAINAN_XINXIN_2024_OFFICIAL,2026-06-04T13:42:00+10:00,success,1,SRC_R010_TW_TAINAN_XINXIN_2024_OFFICIAL,,https://www.twtainan.net/zh-tw/event/newsdetail/6837/,200,1000
SRC_R010_TW_TAINAN_AMEI_2024_OFFICIAL,2026-06-04T13:42:00+10:00,success,1,SRC_R010_TW_TAINAN_AMEI_2024_OFFICIAL,,https://www.twtainan.net/zh-tw/event/newsdetail/6971/,200,1000
SRC_R010_TW_TAINAN_MINSIN_1962_OFFICIAL,2026-06-04T13:42:00+10:00,success,1,SRC_R010_TW_TAINAN_MINSIN_1962_OFFICIAL,,https://www.twtainan.net/zh-tw/shop/consume/1082/,200,1000
SRC_R010_TW_TAIPEI_GOLDENFORMOSA_1954_MICHELIN,2026-06-04T13:42:00+10:00,success,1,SRC_R010_TW_TAIPEI_GOLDENFORMOSA_1954_MICHELIN,,https://guide.michelin.com/tw/en/article/dining-out/golden-formosa-old-soul-new-life,200,1000
SRC_R010_KR_SEOUL_NIUROUMIANGUAN_2026_MICHELIN,2026-06-04T13:42:00+10:00,success,1,SRC_R010_KR_SEOUL_NIUROUMIANGUAN_2026_MICHELIN,,https://guide.michelin.com/gb/en/seoul-capital-area/kr-seoul/restaurant/niroumianguan,200,1000
SRC_R010_KR_BUSAN_MICHELIN_2024_TAIWANESE_BIB,2026-06-04T13:42:00+10:00,success,1,SRC_R010_KR_BUSAN_MICHELIN_2024_TAIWANESE_BIB,,https://dgaddcosprod.blob.core.windows.net/corporate-production/attachments/clte81prt043o15o72is77qex-20240222-pr-michelin-guide-seoul-2024.pdf,200,1000
SRC_R010_FAILED_SHANGHAI_KANPAI_MICHELIN,2026-06-04T13:42:00+10:00,failure,0,,javascript_robot_verification_page_not_accepted,https://guide.michelin.com/en/shanghai-municipality/shanghai/restaurant/kanpai-classic-506687,200,120
SRC_R010_FAILED_BUSAN_YONGKANGZZIE_MICHELIN,2026-06-04T13:42:00+10:00,failure,0,,javascript_robot_verification_page_not_accepted,https://guide.michelin.com/gb/en/busan-region/busan_1025838/restaurant/yongkangzzie,200,120
SRC_R010B02_TW_TAINAN_ASHIA_BOOK_2022,2026-06-04T15:35:00+10:00,success,1,SRC_R010B02_TW_TAINAN_ASHIA_BOOK_2022,,https://www.twtainan.net/zh-tw/event/newsdetail/5149/,200,1000
SRC_R010B02_TW_TAINAN_FULOU_2024,2026-06-04T15:35:00+10:00,success,1,SRC_R010B02_TW_TAINAN_FULOU_2024,,https://www.twtainan.net/zh-tw/event/newsdetail/6923/,200,1000
SRC_R010B02_TW_TAINAN_SHIJIA_2024_16,2026-06-04T15:35:00+10:00,success,1,SRC_R010B02_TW_TAINAN_SHIJIA_2024_16,,https://www.twtainan.net/zh-tw/event/newsdetail/6681/,200,1000
SRC_R010B02_TW_TAINAN_XIQING_2024_22,2026-06-04T15:35:00+10:00,success,1,SRC_R010B02_TW_TAINAN_XIQING_2024_22,,https://www.twtainan.net/zh-tw/event/newsdetail/6740/,200,1000
