quota_id,region,years,records,target_records,record_coverage,unique_sources,minimum_unique_sources,source_coverage,example_attestation_ids
FQ001,Taiwan-side,1946-1949,4,45,0.089,3,25,0.120,TW_1947_001;TW_KHH_1947_001;TW_TN_1946_001;TW_TN_1946_002
FQ002,Taiwan-side,1950-1959,31,95,0.326,21,45,0.467,TW_1958_001;TW_1958_002;TW_1958_003;TW_1958_004;TW_1958_005
FQ003,Taiwan-side,1960-1969,33,115,0.287,25,55,0.455,H40_001;TW_1964_001;TW_1960S_001;TW_1969_001;TW_1960_002
FQ004,Taiwan-side,1970-1978,20,115,0.174,17,55,0.309,H40_002;H40_003;H40_004;TW_1971_001;TW_1970_001
FQ005,Taiwan-side,1979-1987,17,95,0.179,14,45,0.311,H40_005;H40_006;H40_007;TW_1984_001;TW_1981_001
FQ006,Mainland China,1946-1987,5,55,0.091,5,30,0.167,CN_1987_001;CN_1987_002;CN_1987_003;CN_1987_004;CN_1987_005
FQ007,Japan,1946-1987,22,45,0.489,15,25,0.600,JP_1980_001;JP_1980_002;JP_1981_001;JP_1980S_001;JP_1947_001
FQ008,Singapore,1946-1987,40,40,1.000,40,20,2.000,SG_1971_001;SG_1972_001;SG_1972_002;SG_1975_001;SG_1975_002
FQ009,Vietnam,1946-1987,0,20,0.000,0,10,0.000,
FQ010,Korea,1946-1987,0,15,0.000,0,8,0.000,
FQ011,North America,1946-1987,19,60,0.317,14,35,0.400,US_1970_001;US_1974_001;US_1977_001;US_1970S_002;US_1960S_001
FQ012,Latin America,1946-1987,0,5,0.000,0,3,0.000,
UNCLASSIFIED,UNCLASSIFIED,1946-1987,1,0,0.000,1,0,0.000,MY_1980_001
